chunk_id,source,planning_area,region,model_vintage,latest_psf,psf_cagr_pct,gross_yield_pct,mrt_dist_m,cbd_dist_km,text
roi_ang_mo_kio,roi,Ang Mo Kio,North East Region,2022,1969.0,4.89,3.31,154,6.9,"Area Investment Profile — Ang Mo Kio | North East Region

Location & Accessibility:
  MRT access: 154m avg — Excellent (≤500m)
  Distance to CBD: 6.9 km
  Nearest top primary school: 922m
  Nearest shopping mall: 123m
  Nearest park: 122m

Private Property PSF (URA transaction data):
  2021: SGD 1,551  2022: SGD 1,917  2023: SGD 1,754  2024: SGD 1,807  2025: SGD 1,935
  PSF CAGR 2021-2026: +4.9%/yr
  Based on 2,748 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 5.43 (2026Q1)
  Gross rental yield: 3.31%/yr
  Net rental yield (est.): 2.31%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 1,387  2024: SGD 1,408  2025: SGD 1,617  2026: SGD 1,638  (CAGR +5.7%/yr)
  2-bed: 2023: SGD 1,399  2024: SGD 1,267  2025: SGD 1,422  2026: SGD 1,594  (CAGR +4.5%/yr)
  3-bed: 2023: SGD 1,397  2024: SGD 1,249  2025: SGD 1,352  2026: SGD 1,537  (CAGR +3.2%/yr)
  4-bed: 2023: SGD 1,241  2024: SGD 1,180  2025: SGD 1,133  2026: SGD 1,197  (CAGR -1.2%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_bedok,roi,Bedok,East Region,2022,1643.0,6.74,2.63,451,7.8,"Area Investment Profile — Bedok | East Region

Location & Accessibility:
  MRT access: 451m avg — Excellent (≤500m)
  Distance to CBD: 7.8 km
  Nearest top primary school: 945m
  Nearest shopping mall: 1486m
  Nearest park: 445m

Private Property PSF (URA transaction data):
  2021: SGD 1,186  2022: SGD 1,349  2023: SGD 1,528  2024: SGD 1,525  2025: SGD 1,562
  PSF CAGR 2021-2026: +6.7%/yr
  Based on 3,845 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 3.60 (2026Q1)
  Gross rental yield: 2.63%/yr
  Net rental yield (est.): 1.63%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 1,533  2024: SGD 1,503  2025: SGD 1,437  2026: SGD 1,443  (CAGR -2.0%/yr)
  2-bed: 2023: SGD 1,431  2024: SGD 1,363  2025: SGD 1,292  2026: SGD 1,342  (CAGR -2.1%/yr)
  3-bed: 2023: SGD 1,469  2024: SGD 1,436  2025: SGD 1,265  2026: SGD 1,265  (CAGR -4.9%/yr)
  4-bed: 2023: SGD 1,370  2024: SGD 1,305  2025: SGD 1,153  2026: SGD 1,177  (CAGR -5.0%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_bishan,roi,Bishan,Central Region,2022,1969.0,4.89,3.31,393,5.1,"Area Investment Profile — Bishan | Central Region

Location & Accessibility:
  MRT access: 393m avg — Excellent (≤500m)
  Distance to CBD: 5.1 km
  Nearest top primary school: 760m
  Nearest shopping mall: 399m
  Nearest park: 567m

Private Property PSF (URA transaction data):
  2021: SGD 1,551  2022: SGD 1,917  2023: SGD 1,754  2024: SGD 1,807  2025: SGD 1,935
  PSF CAGR 2021-2026: +4.9%/yr
  Based on 2,748 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 5.43 (2026Q1)
  Gross rental yield: 3.31%/yr
  Net rental yield (est.): 2.31%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 1,663  2024: SGD 1,627  2025: SGD 1,592  2026: SGD 1,610  (CAGR -1.1%/yr)
  2-bed: 2023: SGD 1,494  2024: SGD 1,515  2025: SGD 1,445  2026: SGD 1,430  (CAGR -1.5%/yr)
  3-bed: 2023: SGD 1,394  2024: SGD 1,391  2025: SGD 1,368  2026: SGD 1,393  (CAGR -0.0%/yr)
  4-bed: 2023: SGD 1,478  2024: SGD 1,373  2025: SGD 1,322  2026: SGD 1,412  (CAGR -1.5%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_bukit_batok,roi,Bukit Batok,West Region,2022,1612.0,1.21,4.0,617,10.1,"Area Investment Profile — Bukit Batok | West Region

Location & Accessibility:
  MRT access: 617m avg — Good (500-1000m)
  Distance to CBD: 10.1 km
  Nearest top primary school: 4706m
  Nearest shopping mall: 524m
  Nearest park: 579m

Private Property PSF (URA transaction data):
  2021: SGD 1,518  2022: SGD 1,272  2023: SGD 1,461  2024: SGD 1,515  2025: SGD 1,495
  PSF CAGR 2021-2026: +1.2%/yr
  Based on 7,492 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 5.38 (2026Q1)
  Gross rental yield: 4.00%/yr
  Net rental yield (est.): 3.00%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 1,340  2024: SGD 1,317  2025: SGD 1,192  2026: SGD 1,188  (CAGR -3.9%/yr)
  2-bed: 2023: SGD 1,347  2024: SGD 1,234  2025: SGD 1,105  2026: SGD 1,177  (CAGR -4.4%/yr)
  3-bed: 2023: SGD 1,458  2024: SGD 1,345  2025: SGD 1,154  2026: SGD 1,216  (CAGR -5.9%/yr)
  4-bed: 2023: SGD 1,322  2024: SGD 1,123  2025: SGD 1,159  2026: SGD 1,354  (CAGR +0.8%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_bukit_merah,roi,Bukit Merah,Central Region,2022,2346.0,1.86,3.77,403,1.9,"Area Investment Profile — Bukit Merah | Central Region

Location & Accessibility:
  MRT access: 403m avg — Excellent (≤500m)
  Distance to CBD: 1.9 km
  Nearest top primary school: 2007m
  Nearest shopping mall: 968m
  Nearest park: 480m

Private Property PSF (URA transaction data):
  2021: SGD 2,140  2022: SGD 2,277  2023: SGD 2,236  2024: SGD 2,212  2025: SGD 2,814
  PSF CAGR 2021-2026: +1.9%/yr
  Based on 5,599 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 7.38 (2026Q1)
  Gross rental yield: 3.77%/yr
  Net rental yield (est.): 2.77%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 2,149  2024: SGD 2,298  2025: SGD 2,253  2026: SGD 2,138  (CAGR -0.2%/yr)
  2-bed: 2023: SGD 1,855  2024: SGD 1,844  2025: SGD 1,888  2026: SGD 1,925  (CAGR +1.2%/yr)
  3-bed: 2023: SGD 1,795  2024: SGD 1,784  2025: SGD 1,772  2026: SGD 1,802  (CAGR +0.1%/yr)
  4-bed: 2023: SGD 1,845  2024: SGD 2,025  2025: SGD 1,747  2026: SGD 1,545  (CAGR -5.7%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_bukit_panjang,roi,Bukit Panjang,West Region,2022,1612.0,1.21,4.0,1057,8.9,"Area Investment Profile — Bukit Panjang | West Region

Location & Accessibility:
  MRT access: 1057m avg — Moderate (1-1.5km)
  Distance to CBD: 8.9 km
  Nearest top primary school: 4118m
  Nearest shopping mall: 1291m
  Nearest park: 95m

Private Property PSF (URA transaction data):
  2021: SGD 1,518  2022: SGD 1,272  2023: SGD 1,461  2024: SGD 1,515  2025: SGD 1,495
  PSF CAGR 2021-2026: +1.2%/yr
  Based on 7,492 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 5.38 (2026Q1)
  Gross rental yield: 4.00%/yr
  Net rental yield (est.): 3.00%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 1,338  2024: SGD 1,317  2025: SGD 1,285  2026: SGD 1,297  (CAGR -1.0%/yr)
  2-bed: 2023: SGD 1,234  2024: SGD 1,207  2025: SGD 1,138  2026: SGD 1,143  (CAGR -2.5%/yr)
  3-bed: 2023: SGD 1,141  2024: SGD 1,122  2025: SGD 1,098  2026: SGD 1,112  (CAGR -0.8%/yr)
  4-bed: 2023: SGD 1,109  2024: SGD 1,031  2025: SGD 1,047  2026: SGD 1,124  (CAGR +0.5%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_bukit_timah,roi,Bukit Timah,Central Region,2022,2328.0,-0.47,4.32,519,2.9,"Area Investment Profile — Bukit Timah | Central Region

Location & Accessibility:
  MRT access: 519m avg — Good (500-1000m)
  Distance to CBD: 2.9 km
  Nearest top primary school: 894m
  Nearest shopping mall: 1970m
  Nearest park: 951m

Private Property PSF (URA transaction data):
  2021: SGD 2,384  2022: SGD 2,656  2023: SGD 2,554  2024: SGD 2,280  2025: SGD 2,796
  PSF CAGR 2021-2026: -0.5%/yr
  Based on 7,465 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 8.38 (2026Q1)
  Gross rental yield: 4.32%/yr
  Net rental yield (est.): 3.32%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 1,735  2024: SGD 1,764  2025: SGD 1,742  2026: SGD 1,707  (CAGR -0.5%/yr)
  2-bed: 2023: SGD 1,838  2024: SGD 1,909  2025: SGD 1,721  2026: SGD 1,633  (CAGR -3.9%/yr)
  3-bed: 2023: SGD 1,552  2024: SGD 1,557  2025: SGD 1,491  2026: SGD 1,481  (CAGR -1.6%/yr)
  4-bed: 2023: SGD 1,642  2024: SGD 1,665  2025: SGD 1,593  2026: SGD 1,574  (CAGR -1.4%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_clementi,roi,Clementi,West Region,2022,2004.0,2.85,2.85,1331,6.7,"Area Investment Profile — Clementi | West Region

Location & Accessibility:
  MRT access: 1331m avg — Moderate (1-1.5km)
  Distance to CBD: 6.7 km
  Nearest top primary school: 1479m
  Nearest shopping mall: 576m
  Nearest park: 447m

Private Property PSF (URA transaction data):
  2021: SGD 1,741  2022: SGD 1,724  2023: SGD 1,858  2024: SGD 1,900  2025: SGD 2,176
  PSF CAGR 2021-2026: +2.9%/yr
  Based on 7,898 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 4.76 (2026Q1)
  Gross rental yield: 2.85%/yr
  Net rental yield (est.): 1.85%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 1,532  2024: SGD 1,482  2025: SGD 1,432  2026: SGD 1,468  (CAGR -1.4%/yr)
  2-bed: 2023: SGD 1,445  2024: SGD 1,362  2025: SGD 1,331  2026: SGD 1,415  (CAGR -0.7%/yr)
  3-bed: 2023: SGD 1,269  2024: SGD 1,235  2025: SGD 1,265  2026: SGD 1,327  (CAGR +1.5%/yr)
  4-bed: 2023: SGD 1,222  2024: SGD 1,199  2025: SGD 1,334  2026: SGD 1,417  (CAGR +5.1%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_downtown_core,roi,Downtown Core,Central Region,2022,2806.0,4.95,2.56,185,0.0,"Area Investment Profile — Downtown Core | Central Region

Location & Accessibility:
  MRT access: 185m avg — Excellent (≤500m)
  Distance to CBD: 0.0 km
  Nearest top primary school: 3168m
  Nearest shopping mall: 148m
  Nearest park: 196m

Private Property PSF (URA transaction data):
  2021: SGD 2,204  2022: SGD 2,025  2023: SGD 1,981  2024: SGD 2,190  2025: SGD 2,928
  PSF CAGR 2021-2026: +5.0%/yr
  Based on 1,709 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 5.99 (2026Q1)
  Gross rental yield: 2.56%/yr
  Net rental yield (est.): 1.56%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 3,008  2024: SGD 2,998  2025: SGD 2,895  2026: SGD 2,885  (CAGR -1.4%/yr)
  2-bed: 2023: SGD 2,639  2024: SGD 2,639  2025: SGD 2,639  2026: SGD 2,639  (CAGR +0.0%/yr)
  3-bed: 2023: SGD 3,300  2024: SGD 3,300  2025: SGD 3,300  2026: SGD 3,300  (CAGR +0.0%/yr)
  4-bed: 2023: SGD 2,849  2024: SGD 2,805  2025: SGD 2,790  2026: SGD 2,823  (CAGR -0.3%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
roi_geylang,roi,Geylang,Central Region,2022,2003.0,3.36,4.23,343,4.3,"Area Investment Profile — Geylang | Central Region

Location & Accessibility:
  MRT access: 343m avg — Excellent (≤500m)
  Distance to CBD: 4.3 km
  Nearest top primary school: 1367m
  Nearest shopping mall: 2284m
  Nearest park: 656m

Private Property PSF (URA transaction data):
  2021: SGD 1,698  2022: SGD 1,798  2023: SGD 1,844  2024: SGD 1,912  2025: SGD 1,978
  PSF CAGR 2021-2026: +3.4%/yr
  Based on 2,097 transactions (2020-2026)

Rental Market:
  Median rental PSF/month: SGD 7.06 (2026Q1)
  Gross rental yield: 4.23%/yr
  Net rental yield (est.): 3.23%/yr

Forecast PSF by bedroom type (model vintage 2022, directional only):
  1-bed: 2023: SGD 1,592  2024: SGD 1,491  2025: SGD 1,503  2026: SGD 1,598  (CAGR +0.1%/yr)
  2-bed: 2023: SGD 1,570  2024: SGD 1,360  2025: SGD 1,413  2026: SGD 1,632  (CAGR +1.3%/yr)
  3-bed: 2023: SGD 1,405  2024: SGD 1,351  2025: SGD 1,282  2026: SGD 1,335  (CAGR -1.7%/yr)
  4-bed: 2023: SGD 1,210  2024: SGD 1,183  2025: SGD 1,175  2026: SGD 1,208  (CAGR -0.0%/yr)

Note: PSF trend from URA live data (authoritative). Forecast from proprietary model — treat as directional. Model vintage 2022."
